-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
-END HEADER-


LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DIFF
-8.5,105.5,2021,1,1,2.2087
-8.5,106.5,2021,1,1,2.3009
-8.5,107.5,2021,1,1,2.8603
-8.5,108.5,2021,1,1,3.1423
-8.5,109.5,2021,1,1,3.0766
-8.5,110.5,2021,1,1,2.6249
-8.5,111.5,2021,1,1,2.5584
-8.5,112.5,2021,1,1,2.3602
-8.5,113.5,2021,1,1,2.5968
-8.5,114.5,2021,1,1,2.58
-7.5,105.5,2021,1,1,2.8342
-7.5,106.5,2021,1,1,1.7887
-7.5,107.5,2021,1,1,2.3722
-7.5,108.5,2021,1,1,2.6789
-7.5,109.5,2021,1,1,2.9969
-7.5,110.5,2021,1,1,2.5963
-7.5,111.5,2021,1,1,2.9947
-7.5,112.5,2021,1,1,3.1526
-7.5,113.5,2021,1,1,3.132
-7.5,114.5,2021,1,1,3.1903
-6.5,105.5,2021,1,1,2.9225
-6.5,106.5,2021,1,1,2.2982
-6.5,107.5,2021,1,1,2.6808
-6.5,108.5,2021,1,1,2.9652
-6.5,109.5,2021,1,1,3.229
-6.5,110.5,2021,1,1,1.9802
-6.5,111.5,2021,1,1,2.3143
-6.5,112.5,2021,1,1,2.9558
-6.5,113.5,2021,1,1,2.917
-6.5,114.5,2021,1,1,2.1854
-5.5,105.5,2021,1,1,2.6189
-5.5,106.5,2021,1,1,2.6306
-5.5,107.5,2021,1,1,3.1634
-5.5,108.5,2021,1,1,3.3022
-5.5,109.5,2021,1,1,2.2267
-5.5,110.5,2021,1,1,1.1832
-5.5,111.5,2021,1,1,1.188
-5.5,112.5,2021,1,1,1.5761
-5.5,113.5,2021,1,1,0.881
-5.5,114.5,2021,1,1,0.6094
-8.5,105.5,2021,1,2,3.1548
-8.5,106.5,2021,1,2,2.2961
-8.5,107.5,2021,1,2,3.1354
-8.5,108.5,2021,1,2,3.6034
-8.5,109.5,2021,1,2,2.8673
-8.5,110.5,2021,1,2,1.8674
-8.5,111.5,2021,1,2,3.0091
-8.5,112.5,2021,1,2,2.5318
-8.5,113.5,2021,1,2,2.9006
-8.5,114.5,2021,1,2,2.7888
-7.5,105.5,2021,1,2,3.3857
-7.5,106.5,2021,1,2,3.475
-7.5,107.5,2021,1,2,3.4711
-7.5,108.5,2021,1,2,3.2597
-7.5,109.5,2021,1,2,3.3648
-7.5,110.5,2021,1,2,3.1361
-7.5,111.5,2021,1,2,3.0638
-7.5,112.5,2021,1,2,2.6434
-7.5,113.5,2021,1,2,2.7758
-7.5,114.5,2021,1,2,3.2158
-6.5,105.5,2021,1,2,3.2832
-6.5,106.5,2021,1,2,3.703
-6.5,107.5,2021,1,2,3.7058
-6.5,108.5,2021,1,2,3.3838
-6.5,109.5,2021,1,2,2.6311
-6.5,110.5,2021,1,2,1.9183
-6.5,111.5,2021,1,2,2.1497
-6.5,112.5,2021,1,2,2.9323
-6.5,113.5,2021,1,2,2.9748
-6.5,114.5,2021,1,2,3.187
-5.5,105.5,2021,1,2,3.1807
-5.5,106.5,2021,1,2,3.491
-5.5,107.5,2021,1,2,2.9563
-5.5,108.5,2021,1,2,3.293
-5.5,109.5,2021,1,2,2.683
-5.5,110.5,2021,1,2,1.367
-5.5,111.5,2021,1,2,1.2847
-5.5,112.5,2021,1,2,2.4048
-5.5,113.5,2021,1,2,2.748
-5.5,114.5,2021,1,2,2.5594
-8.5,105.5,2021,1,3,2.6938
-8.5,106.5,2021,1,3,2.9304
-8.5,107.5,2021,1,3,2.9822
-8.5,108.5,2021,1,3,1.7767
-8.5,109.5,2021,1,3,1.3342
-8.5,110.5,2021,1,3,1.9243
-8.5,111.5,2021,1,3,2.327
-8.5,112.5,2021,1,3,2.7989
-8.5,113.5,2021,1,3,2.6978
-8.5,114.5,2021,1,3,2.7185
-7.5,105.5,2021,1,3,2.8733
-7.5,106.5,2021,1,3,3.132
-7.5,107.5,2021,1,3,3.0883
-7.5,108.5,2021,1,3,3.0286
-7.5,109.5,2021,1,3,2.6501
-7.5,110.5,2021,1,3,2.7322
-7.5,111.5,2021,1,3,2.6578
-7.5,112.5,2021,1,3,2.3491
-7.5,113.5,2021,1,3,2.4175
-7.5,114.5,2021,1,3,2.4787
-6.5,105.5,2021,1,3,2.5877
-6.5,106.5,2021,1,3,2.6081
-6.5,107.5,2021,1,3,3.0086
-6.5,108.5,2021,1,3,3.1498
-6.5,109.5,2021,1,3,3.4603
-6.5,110.5,2021,1,3,3.2789
-6.5,111.5,2021,1,3,3.565
-6.5,112.5,2021,1,3,3.5748
-6.5,113.5,2021,1,3,3.0725
-6.5,114.5,2021,1,3,2.8956
-5.5,105.5,2021,1,3,2.9808
-5.5,106.5,2021,1,3,3.5054
-5.5,107.5,2021,1,3,3.3034
-5.5,108.5,2021,1,3,2.31
-5.5,109.5,2021,1,3,1.871
-5.5,110.5,2021,1,3,1.5715
-5.5,111.5,2021,1,3,1.6954
-5.5,112.5,2021,1,3,2.4442
-5.5,113.5,2021,1,3,1.9452
-5.5,114.5,2021,1,3,2.0141
-8.5,105.5,2021,1,4,3.0982
-8.5,106.5,2021,1,4,2.4569
-8.5,107.5,2021,1,4,1.8823
-8.5,108.5,2021,1,4,1.7885
-8.5,109.5,2021,1,4,1.4407
-8.5,110.5,2021,1,4,2.357
-8.5,111.5,2021,1,4,3.1536
-8.5,112.5,2021,1,4,3.0475
-8.5,113.5,2021,1,4,3.2748
-8.5,114.5,2021,1,4,2.9568
-7.5,105.5,2021,1,4,2.6645
-7.5,106.5,2021,1,4,2.959
-7.5,107.5,2021,1,4,2.4091
-7.5,108.5,2021,1,4,2.8685
-7.5,109.5,2021,1,4,2.6419
-7.5,110.5,2021,1,4,2.893
-7.5,111.5,2021,1,4,3.5484
-7.5,112.5,2021,1,4,3.24
-7.5,113.5,2021,1,4,2.5862
-7.5,114.5,2021,1,4,2.5375
-6.5,105.5,2021,1,4,2.8961
-6.5,106.5,2021,1,4,2.6268
-6.5,107.5,2021,1,4,2.5918
-6.5,108.5,2021,1,4,3.1956
-6.5,109.5,2021,1,4,3.3432
-6.5,110.5,2021,1,4,3.222
-6.5,111.5,2021,1,4,3.3398
-6.5,112.5,2021,1,4,3.1104
-6.5,113.5,2021,1,4,2.4631
-6.5,114.5,2021,1,4,1.8461
-5.5,105.5,2021,1,4,3.0636
-5.5,106.5,2021,1,4,3.2518
-5.5,107.5,2021,1,4,3.299
-5.5,108.5,2021,1,4,3.5129
-5.5,109.5,2021,1,4,3.4721
-5.5,110.5,2021,1,4,3.4922
-5.5,111.5,2021,1,4,3.4032
-5.5,112.5,2021,1,4,3.3194
-5.5,113.5,2021,1,4,2.8867
-5.5,114.5,2021,1,4,2.0062
-8.5,105.5,2021,1,5,3.5186
-8.5,106.5,2021,1,5,3.6233
-8.5,107.5,2021,1,5,3.6929
-8.5,108.5,2021,1,5,3.3948
-8.5,109.5,2021,1,5,2.7466
-8.5,110.5,2021,1,5,2.8195
-8.5,111.5,2021,1,5,2.8313
-8.5,112.5,2021,1,5,2.9801
-8.5,113.5,2021,1,5,2.4197
-8.5,114.5,2021,1,5,2.2164
-7.5,105.5,2021,1,5,3.0965
-7.5,106.5,2021,1,5,3.6763
-7.5,107.5,2021,1,5,3.2047
