-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DIFF
-8.5,105.5,2025,1,1,2.6158
-8.5,106.5,2025,1,1,2.7504
-8.5,107.5,2025,1,1,2.8368
-8.5,108.5,2025,1,1,3.3535
-8.5,109.5,2025,1,1,3.2422
-8.5,110.5,2025,1,1,3.2604
-8.5,111.5,2025,1,1,3.4082
-8.5,112.5,2025,1,1,2.9717
-8.5,113.5,2025,1,1,2.2488
-8.5,114.5,2025,1,1,1.98
-7.5,105.5,2025,1,1,2.7833
-7.5,106.5,2025,1,1,2.586
-7.5,107.5,2025,1,1,2.6863
-7.5,108.5,2025,1,1,2.9712
-7.5,109.5,2025,1,1,3.361
-7.5,110.5,2025,1,1,3.0511
-7.5,111.5,2025,1,1,2.7086
-7.5,112.5,2025,1,1,2.0544
-7.5,113.5,2025,1,1,1.6013
-7.5,114.5,2025,1,1,1.1911
-6.5,105.5,2025,1,1,2.2025
-6.5,106.5,2025,1,1,2.4713
-6.5,107.5,2025,1,1,2.6527
-6.5,108.5,2025,1,1,3.1555
-6.5,109.5,2025,1,1,2.19
-6.5,110.5,2025,1,1,1.6277
-6.5,111.5,2025,1,1,1.5485
-6.5,112.5,2025,1,1,1.6258
-6.5,113.5,2025,1,1,1.7839
-6.5,114.5,2025,1,1,2.0743
-5.5,105.5,2025,1,1,2.1665
-5.5,106.5,2025,1,1,1.5708
-5.5,107.5,2025,1,1,1.9656
-5.5,108.5,2025,1,1,2.7878
-5.5,109.5,2025,1,1,3.0931
-5.5,110.5,2025,1,1,2.4089
-5.5,111.5,2025,1,1,1.5166
-5.5,112.5,2025,1,1,1.5564
-5.5,113.5,2025,1,1,1.6378
-5.5,114.5,2025,1,1,2.1238
-8.5,105.5,2025,1,2,2.0837
-8.5,106.5,2025,1,2,1.9166
-8.5,107.5,2025,1,2,2.6537
-8.5,108.5,2025,1,2,3.4416
-8.5,109.5,2025,1,2,2.9808
-8.5,110.5,2025,1,2,2.8087
-8.5,111.5,2025,1,2,3.0082
-8.5,112.5,2025,1,2,2.7955
-8.5,113.5,2025,1,2,2.7437
-8.5,114.5,2025,1,2,2.8234
-7.5,105.5,2025,1,2,1.6872
-7.5,106.5,2025,1,2,1.4011
-7.5,107.5,2025,1,2,2.5548
-7.5,108.5,2025,1,2,3.6158
-7.5,109.5,2025,1,2,3.0353
-7.5,110.5,2025,1,2,2.6863
-7.5,111.5,2025,1,2,2.4521
-7.5,112.5,2025,1,2,2.5694
-7.5,113.5,2025,1,2,2.5339
-7.5,114.5,2025,1,2,3.1656
