-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DNI
-8.5,105.5,2022,1,1,5.6753
-8.5,106.5,2022,1,1,3.4553
-8.5,107.5,2022,1,1,4.1105
-8.5,108.5,2022,1,1,5.4046
-8.5,109.5,2022,1,1,2.7074
-8.5,110.5,2022,1,1,2.0551
-8.5,111.5,2022,1,1,3.1046
-8.5,112.5,2022,1,1,3.6382
-8.5,113.5,2022,1,1,2.2188
-8.5,114.5,2022,1,1,0.5642
-7.5,105.5,2022,1,1,1.3368
-7.5,106.5,2022,1,1,1.8206
-7.5,107.5,2022,1,1,1.4045
-7.5,108.5,2022,1,1,3.5314
-7.5,109.5,2022,1,1,2.3803
-7.5,110.5,2022,1,1,1.6898
-7.5,111.5,2022,1,1,2.1898
-7.5,112.5,2022,1,1,0.6984
-7.5,113.5,2022,1,1,0.6122
-7.5,114.5,2022,1,1,0.2182
-6.5,105.5,2022,1,1,0.1658
-6.5,106.5,2022,1,1,0.835
-6.5,107.5,2022,1,1,0.9835
-6.5,108.5,2022,1,1,1.1503
-6.5,109.5,2022,1,1,1.6673
-6.5,110.5,2022,1,1,1.5079
-6.5,111.5,2022,1,1,0.6722
-6.5,112.5,2022,1,1,0.2309
-6.5,113.5,2022,1,1,0.1378
-6.5,114.5,2022,1,1,0.1382
-5.5,105.5,2022,1,1,0.4975
-5.5,106.5,2022,1,1,0.5494
-5.5,107.5,2022,1,1,0.3062
-5.5,108.5,2022,1,1,0.1049
-5.5,109.5,2022,1,1,0.3269
-5.5,110.5,2022,1,1,0.4522
-5.5,111.5,2022,1,1,0.2028
-5.5,112.5,2022,1,1,0.1968
-5.5,113.5,2022,1,1,0.1313
-5.5,114.5,2022,1,1,0.061
-8.5,105.5,2022,1,2,8.5692
-8.5,106.5,2022,1,2,5.8279
-8.5,107.5,2022,1,2,7.9106
-8.5,108.5,2022,1,2,6.4836
-8.5,109.5,2022,1,2,6.0946
-8.5,110.5,2022,1,2,4.2874
-8.5,111.5,2022,1,2,1.4868
-8.5,112.5,2022,1,2,1.727
-8.5,113.5,2022,1,2,2.1883
-8.5,114.5,2022,1,2,0.6778
-7.5,105.5,2022,1,2,5.7276
-7.5,106.5,2022,1,2,3.6302
-7.5,107.5,2022,1,2,3.8131
-7.5,108.5,2022,1,2,2.9914
-7.5,109.5,2022,1,2,1.7314
-7.5,110.5,2022,1,2,0.9953
-7.5,111.5,2022,1,2,1.2859
-7.5,112.5,2022,1,2,0.7188
-7.5,113.5,2022,1,2,1.7938
-7.5,114.5,2022,1,2,0.7502
-6.5,105.5,2022,1,2,4.4594
-6.5,106.5,2022,1,2,1.3478
-6.5,107.5,2022,1,2,1.7666
-6.5,108.5,2022,1,2,1.9634
-6.5,109.5,2022,1,2,3.8165
-6.5,110.5,2022,1,2,1.7894
-6.5,111.5,2022,1,2,0.6919
-6.5,112.5,2022,1,2,0.1322
-6.5,113.5,2022,1,2,0.1848
-6.5,114.5,2022,1,2,0.289
-5.5,105.5,2022,1,2,4.1772
-5.5,106.5,2022,1,2,2.1295
-5.5,107.5,2022,1,2,0.3946
-5.5,108.5,2022,1,2,0.8676
-5.5,109.5,2022,1,2,1.3543
-5.5,110.5,2022,1,2,0.6456
-5.5,111.5,2022,1,2,0.1154
-5.5,112.5,2022,1,2,0.1111
-5.5,113.5,2022,1,2,0.114
-5.5,114.5,2022,1,2,0.257
-8.5,105.5,2022,1,3,7.2804
-8.5,106.5,2022,1,3,6.1327
-8.5,107.5,2022,1,3,7.1626
-8.5,108.5,2022,1,3,4.0486
-8.5,109.5,2022,1,3,2.0669
-8.5,110.5,2022,1,3,3.8422
-8.5,111.5,2022,1,3,5.8961
-8.5,112.5,2022,1,3,4.89
-8.5,113.5,2022,1,3,2.011
-8.5,114.5,2022,1,3,0.4546
-7.5,105.5,2022,1,3,7.2542
-7.5,106.5,2022,1,3,7.151
-7.5,107.5,2022,1,3,5.2306
-7.5,108.5,2022,1,3,3.9962
-7.5,109.5,2022,1,3,2.1847
-7.5,110.5,2022,1,3,2.1274
-7.5,111.5,2022,1,3,3.9878
-7.5,112.5,2022,1,3,2.2428
-7.5,113.5,2022,1,3,0.5011
-7.5,114.5,2022,1,3,0.4495
-6.5,105.5,2022,1,3,4.0056
-6.5,106.5,2022,1,3,4.2694
-6.5,107.5,2022,1,3,3.1493
-6.5,108.5,2022,1,3,2.2315
-6.5,109.5,2022,1,3,1.1861
-6.5,110.5,2022,1,3,0.7476
-6.5,111.5,2022,1,3,1.9097
-6.5,112.5,2022,1,3,1.2324
-6.5,113.5,2022,1,3,0.1356
-6.5,114.5,2022,1,3,0.1205
-5.5,105.5,2022,1,3,1.1098
-5.5,106.5,2022,1,3,5.5418
-5.5,107.5,2022,1,3,6.091
-5.5,108.5,2022,1,3,2.4821
-5.5,109.5,2022,1,3,0.7486
-5.5,110.5,2022,1,3,0.2729
-5.5,111.5,2022,1,3,0.3446
-5.5,112.5,2022,1,3,0.2674
-5.5,113.5,2022,1,3,0.0809
-5.5,114.5,2022,1,3,0.1625
-8.5,105.5,2022,1,4,8.0892
-8.5,106.5,2022,1,4,7.4455
-8.5,107.5,2022,1,4,7.1436
-8.5,108.5,2022,1,4,5.976
-8.5,109.5,2022,1,4,6.6917
-8.5,110.5,2022,1,4,6.383
-8.5,111.5,2022,1,4,6.1298
-8.5,112.5,2022,1,4,1.783
-8.5,113.5,2022,1,4,0.2196
-8.5,114.5,2022,1,4,0.0478
-7.5,105.5,2022,1,4,7.6313
-7.5,106.5,2022,1,4,6.8791
-7.5,107.5,2022,1,4,5.8742
-7.5,108.5,2022,1,4,4.8996
-7.5,109.5,2022,1,4,4.3536
-7.5,110.5,2022,1,4,4.1086
-7.5,111.5,2022,1,4,4.1954
-7.5,112.5,2022,1,4,0.3816
-7.5,113.5,2022,1,4,0.8863
-7.5,114.5,2022,1,4,0.6989
-6.5,105.5,2022,1,4,6.7651
-6.5,106.5,2022,1,4,4.4227
