-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
-8.5,105.5,2024,1,1,2.7948
-8.5,106.5,2024,1,1,1.7395
-8.5,107.5,2024,1,1,1.5929
-8.5,108.5,2024,1,1,2.5061
-8.5,109.5,2024,1,1,5.2188
-8.5,110.5,2024,1,1,6.3382
-8.5,111.5,2024,1,1,6.2458
-8.5,112.5,2024,1,1,5.3846
-8.5,113.5,2024,1,1,4.8754
-8.5,114.5,2024,1,1,5.3122
-7.5,105.5,2024,1,1,5.2622
-7.5,106.5,2024,1,1,4.6603
-7.5,107.5,2024,1,1,3.8777
-7.5,108.5,2024,1,1,5.1583
-7.5,109.5,2024,1,1,5.4734
-7.5,110.5,2024,1,1,5.6858
-7.5,111.5,2024,1,1,5.4137
-7.5,112.5,2024,1,1,4.6639
-7.5,113.5,2024,1,1,4.7534
-7.5,114.5,2024,1,1,4.4897
-6.5,105.5,2024,1,1,4.5922
-6.5,106.5,2024,1,1,4.3318
-6.5,107.5,2024,1,1,5.3758
-6.5,108.5,2024,1,1,5.9969
-6.5,109.5,2024,1,1,6.0679
-6.5,110.5,2024,1,1,5.6035
-6.5,111.5,2024,1,1,4.6745
-6.5,112.5,2024,1,1,4.5264
-6.5,113.5,2024,1,1,2.5298
-6.5,114.5,2024,1,1,2.1499
-5.5,105.5,2024,1,1,4.1198
-5.5,106.5,2024,1,1,3.0629
-5.5,107.5,2024,1,1,5.0748
-5.5,108.5,2024,1,1,4.8826
-5.5,109.5,2024,1,1,3.8383
-5.5,110.5,2024,1,1,4.4134
-5.5,111.5,2024,1,1,3.641
-5.5,112.5,2024,1,1,4.4462
-5.5,113.5,2024,1,1,4.0541
-5.5,114.5,2024,1,1,4.6454
-8.5,105.5,2024,1,2,4.6466
-8.5,106.5,2024,1,2,3.3958
-8.5,107.5,2024,1,2,3.461
-8.5,108.5,2024,1,2,3.2448
