-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M
-9.0,105.625,2022,1,1,81.41
-9.0,106.25,2022,1,1,80.78
-9.0,106.875,2022,1,1,80.68
-9.0,107.5,2022,1,1,81.28
-9.0,108.125,2022,1,1,81.46
-9.0,108.75,2022,1,1,81.22
-9.0,109.375,2022,1,1,80.53
-9.0,110.0,2022,1,1,80.75
-9.0,110.625,2022,1,1,81.26
-9.0,111.25,2022,1,1,81.7
-9.0,111.875,2022,1,1,80.89
-9.0,112.5,2022,1,1,81.71
-9.0,113.125,2022,1,1,82.33
-9.0,113.75,2022,1,1,81.85
-9.0,114.375,2022,1,1,80.5
-8.5,105.625,2022,1,1,80.64
-8.5,106.25,2022,1,1,80.16
-8.5,106.875,2022,1,1,79.25
-8.5,107.5,2022,1,1,78.74
-8.5,108.125,2022,1,1,78.66
-8.5,108.75,2022,1,1,78.9
-8.5,109.375,2022,1,1,79.23
-8.5,110.0,2022,1,1,80.45
-8.5,110.625,2022,1,1,82.04
-8.5,111.25,2022,1,1,82.66
-8.5,111.875,2022,1,1,81.99
-8.5,112.5,2022,1,1,84.1
-8.5,113.125,2022,1,1,82.06
-8.5,113.75,2022,1,1,81.85
-8.5,114.375,2022,1,1,84.87
-8.0,105.625,2022,1,1,79.75
-8.0,106.25,2022,1,1,79.33
-8.0,106.875,2022,1,1,78.39
-8.0,107.5,2022,1,1,78.75
-8.0,108.125,2022,1,1,78.36
-8.0,108.75,2022,1,1,77.17
-8.0,109.375,2022,1,1,78.55
-8.0,110.0,2022,1,1,82.82
-8.0,110.625,2022,1,1,87.02
-8.0,111.25,2022,1,1,87.12
-8.0,111.875,2022,1,1,86.31
-8.0,112.5,2022,1,1,89.68
-8.0,113.125,2022,1,1,84.17
-8.0,113.75,2022,1,1,87.32
-8.0,114.375,2022,1,1,89.92
-7.5,105.625,2022,1,1,78.87
-7.5,106.25,2022,1,1,79.59
-7.5,106.875,2022,1,1,81.02
-7.5,107.5,2022,1,1,84.59
-7.5,108.125,2022,1,1,88.49
-7.5,108.75,2022,1,1,87.41
-7.5,109.375,2022,1,1,88.62
-7.5,110.0,2022,1,1,90.32
-7.5,110.625,2022,1,1,88.44
-7.5,111.25,2022,1,1,88.64
-7.5,111.875,2022,1,1,89.82
-7.5,112.5,2022,1,1,89.44
-7.5,113.125,2022,1,1,83.97
-7.5,113.75,2022,1,1,85.38
-7.5,114.375,2022,1,1,86.62
-7.0,105.625,2022,1,1,80.41
-7.0,106.25,2022,1,1,83.55
-7.0,106.875,2022,1,1,89.35
-7.0,107.5,2022,1,1,88.62
-7.0,108.125,2022,1,1,84.15
-7.0,108.75,2022,1,1,83.46
-7.0,109.375,2022,1,1,82.68
-7.0,110.0,2022,1,1,80.81
-7.0,110.625,2022,1,1,82.35
-7.0,111.25,2022,1,1,87.02
-7.0,111.875,2022,1,1,88.12
-7.0,112.5,2022,1,1,87.43
-7.0,113.125,2022,1,1,88.02
-7.0,113.75,2022,1,1,87.54
-7.0,114.375,2022,1,1,85.31
-6.5,105.625,2022,1,1,82.91
-6.5,106.25,2022,1,1,86.77
-6.5,106.875,2022,1,1,86.38
-6.5,107.5,2022,1,1,80.41
-6.5,108.125,2022,1,1,79.29
-6.5,108.75,2022,1,1,76.82
-6.5,109.375,2022,1,1,75.33
-6.5,110.0,2022,1,1,77.01
-6.5,110.625,2022,1,1,82.05
-6.5,111.25,2022,1,1,84.64
-6.5,111.875,2022,1,1,85.27
-6.5,112.5,2022,1,1,84.86
-6.5,113.125,2022,1,1,85.25
-6.5,113.75,2022,1,1,84.87
-6.5,114.375,2022,1,1,84.77
-6.0,105.625,2022,1,1,83.36
-6.0,106.25,2022,1,1,82.89
-6.0,106.875,2022,1,1,80.54
-6.0,107.5,2022,1,1,78.62
-6.0,108.125,2022,1,1,74.93
-6.0,108.75,2022,1,1,74.22
-6.0,109.375,2022,1,1,76.24
-6.0,110.0,2022,1,1,78.45
-6.0,110.625,2022,1,1,82.69
-6.0,111.25,2022,1,1,84.4
-6.0,111.875,2022,1,1,84.19
-6.0,112.5,2022,1,1,85.47
-6.0,113.125,2022,1,1,85.19
-6.0,113.75,2022,1,1,85.05
-6.0,114.375,2022,1,1,85.07
-5.5,105.625,2022,1,1,84.51
-5.5,106.25,2022,1,1,80.23
-5.5,106.875,2022,1,1,78.5
-5.5,107.5,2022,1,1,77.89
-5.5,108.125,2022,1,1,76.39
-5.5,108.75,2022,1,1,76.74
-5.5,109.375,2022,1,1,78.19
-5.5,110.0,2022,1,1,81.4
-5.5,110.625,2022,1,1,82.61
-5.5,111.25,2022,1,1,83.55
-5.5,111.875,2022,1,1,84.8
-5.5,112.5,2022,1,1,85.48
-5.5,113.125,2022,1,1,85.24
-5.5,113.75,2022,1,1,84.96
-5.5,114.375,2022,1,1,85.16
-9.0,105.625,2022,1,2,74.96
-9.0,106.25,2022,1,2,74.91
-9.0,106.875,2022,1,2,75.02
-9.0,107.5,2022,1,2,76.08
-9.0,108.125,2022,1,2,74.2
-9.0,108.75,2022,1,2,73.03
-9.0,109.375,2022,1,2,73.73
-9.0,110.0,2022,1,2,75.38
-9.0,110.625,2022,1,2,77.82
-9.0,111.25,2022,1,2,78.8
-9.0,111.875,2022,1,2,77.77
-9.0,112.5,2022,1,2,78.0
-9.0,113.125,2022,1,2,81.87
-9.0,113.75,2022,1,2,83.19
-9.0,114.375,2022,1,2,83.21
-8.5,105.625,2022,1,2,78.5
-8.5,106.25,2022,1,2,78.07
-8.5,106.875,2022,1,2,77.1
-8.5,107.5,2022,1,2,77.41
-8.5,108.125,2022,1,2,79.41
-8.5,108.75,2022,1,2,79.17
-8.5,109.375,2022,1,2,78.51
-8.5,110.0,2022,1,2,79.0
-8.5,110.625,2022,1,2,81.11
-8.5,111.25,2022,1,2,82.72
-8.5,111.875,2022,1,2,82.48
-8.5,112.5,2022,1,2,82.96
-8.5,113.125,2022,1,2,83.31
-8.5,113.75,2022,1,2,87.34
-8.5,114.375,2022,1,2,90.06
-8.0,105.625,2022,1,2,80.88
-8.0,106.25,2022,1,2,80.46
-8.0,106.875,2022,1,2,79.14
-8.0,107.5,2022,1,2,78.97
-8.0,108.125,2022,1,2,80.57
-8.0,108.75,2022,1,2,80.5
-8.0,109.375,2022,1,2,80.65
-8.0,110.0,2022,1,2,83.86
-8.0,110.625,2022,1,2,87.42
-8.0,111.25,2022,1,2,86.92
-8.0,111.875,2022,1,2,85.89
-8.0,112.5,2022,1,2,88.06
-8.0,113.125,2022,1,2,86.8
-8.0,113.75,2022,1,2,89.83
-8.0,114.375,2022,1,2,89.08
-7.5,105.625,2022,1,2,82.55
-7.5,106.25,2022,1,2,83.38
-7.5,106.875,2022,1,2,85.01
-7.5,107.5,2022,1,2,87.12
-7.5,108.125,2022,1,2,90.15
-7.5,108.75,2022,1,2,89.5
-7.5,109.375,2022,1,2,89.82
-7.5,110.0,2022,1,2,89.87
-7.5,110.625,2022,1,2,87.8
-7.5,111.25,2022,1,2,86.32
-7.5,111.875,2022,1,2,85.73
-7.5,112.5,2022,1,2,86.02
-7.5,113.125,2022,1,2,82.49
-7.5,113.75,2022,1,2,82.26
-7.5,114.375,2022,1,2,85.68
-7.0,105.625,2022,1,2,84.11
-7.0,106.25,2022,1,2,87.04
-7.0,106.875,2022,1,2,91.61
-7.0,107.5,2022,1,2,90.47
-7.0,108.125,2022,1,2,86.71
-7.0,108.75,2022,1,2,85.8
-7.0,109.375,2022,1,2,87.76
-7.0,110.0,2022,1,2,80.65
-7.0,110.625,2022,1,2,79.47
-7.0,111.25,2022,1,2,84.85
-7.0,111.875,2022,1,2,84.72
-7.0,112.5,2022,1,2,84.51
-7.0,113.125,2022,1,2,85.74
-7.0,113.75,2022,1,2,86.76
-7.0,114.375,2022,1,2,86.37
-6.5,105.625,2022,1,2,85.67
-6.5,106.25,2022,1,2,88.88
-6.5,106.875,2022,1,2,88.13
-6.5,107.5,2022,1,2,82.4
-6.5,108.125,2022,1,2,79.5
-6.5,108.75,2022,1,2,76.09
-6.5,109.375,2022,1,2,75.62
-6.5,110.0,2022,1,2,76.27
-6.5,110.625,2022,1,2,79.44
-6.5,111.25,2022,1,2,81.0
-6.5,111.875,2022,1,2,82.17
-6.5,112.5,2022,1,2,82.4
-6.5,113.125,2022,1,2,83.78
-6.5,113.75,2022,1,2,84.72
-6.5,114.375,2022,1,2,84.91
-6.0,105.625,2022,1,2,86.71
-6.0,106.25,2022,1,2,86.17
-6.0,106.875,2022,1,2,83.08
-6.0,107.5,2022,1,2,81.19
-6.0,108.125,2022,1,2,77.43
-6.0,108.75,2022,1,2,76.34
-6.0,109.375,2022,1,2,78.13
-6.0,110.0,2022,1,2,79.66
-6.0,110.625,2022,1,2,78.82
-6.0,111.25,2022,1,2,78.91
-6.0,111.875,2022,1,2,79.81
-6.0,112.5,2022,1,2,81.26
-6.0,113.125,2022,1,2,83.36
-6.0,113.75,2022,1,2,85.17
-6.0,114.375,2022,1,2,83.8
-5.5,105.625,2022,1,2,86.99
-5.5,106.25,2022,1,2,84.08
-5.5,106.875,2022,1,2,81.84
-5.5,107.5,2022,1,2,80.38
-5.5,108.125,2022,1,2,80.18
-5.5,108.75,2022,1,2,80.31
-5.5,109.375,2022,1,2,81.18
-5.5,110.0,2022,1,2,80.73
-5.5,110.625,2022,1,2,80.09
-5.5,111.25,2022,1,2,79.91
-5.5,111.875,2022,1,2,79.99
-5.5,112.5,2022,1,2,81.25
-5.5,113.125,2022,1,2,83.24
-5.5,113.75,2022,1,2,83.75
-5.5,114.375,2022,1,2,82.25
-9.0,105.625,2022,1,3,73.04
-9.0,106.25,2022,1,3,72.71
-9.0,106.875,2022,1,3,71.35
-9.0,107.5,2022,1,3,71.22
-9.0,108.125,2022,1,3,71.24
-9.0,108.75,2022,1,3,70.18
-9.0,109.375,2022,1,3,70.21
-9.0,110.0,2022,1,3,70.34
-9.0,110.625,2022,1,3,72.13
-9.0,111.25,2022,1,3,74.56
-9.0,111.875,2022,1,3,74.92
-9.0,112.5,2022,1,3,74.97
-9.0,113.125,2022,1,3,76.11
-9.0,113.75,2022,1,3,80.07
-9.0,114.375,2022,1,3,81.71
-8.5,105.625,2022,1,3,75.02
-8.5,106.25,2022,1,3,74.44
-8.5,106.875,2022,1,3,73.2
-8.5,107.5,2022,1,3,73.28
-8.5,108.125,2022,1,3,73.87
-8.5,108.75,2022,1,3,72.96
-8.5,109.375,2022,1,3,72.68
-8.5,110.0,2022,1,3,72.66
-8.5,110.625,2022,1,3,73.72
-8.5,111.25,2022,1,3,76.97
-8.5,111.875,2022,1,3,79.39
-8.5,112.5,2022,1,3,79.88
-8.5,113.125,2022,1,3,79.68
-8.5,113.75,2022,1,3,83.73
-8.5,114.375,2022,1,3,89.02
-8.0,105.625,2022,1,3,75.74
-8.0,106.25,2022,1,3,75.26
-8.0,106.875,2022,1,3,74.97
-8.0,107.5,2022,1,3,75.58
-8.0,108.125,2022,1,3,75.73
-8.0,108.75,2022,1,3,75.31
-8.0,109.375,2022,1,3,75.24
-8.0,110.0,2022,1,3,78.98
-8.0,110.625,2022,1,3,82.6
-8.0,111.25,2022,1,3,83.66
-8.0,111.875,2022,1,3,85.89
-8.0,112.5,2022,1,3,88.94
-8.0,113.125,2022,1,3,86.9
-8.0,113.75,2022,1,3,89.32
-8.0,114.375,2022,1,3,87.29
-7.5,105.625,2022,1,3,76.95
-7.5,106.25,2022,1,3,78.54
-7.5,106.875,2022,1,3,79.78
-7.5,107.5,2022,1,3,82.23
-7.5,108.125,2022,1,3,87.61
-7.5,108.75,2022,1,3,86.8
-7.5,109.375,2022,1,3,86.9
-7.5,110.0,2022,1,3,88.1
-7.5,110.625,2022,1,3,86.67
-7.5,111.25,2022,1,3,86.1
-7.5,111.875,2022,1,3,87.16
-7.5,112.5,2022,1,3,85.69
-7.5,113.125,2022,1,3,80.82
-7.5,113.75,2022,1,3,77.62
-7.5,114.375,2022,1,3,80.61
-7.0,105.625,2022,1,3,79.97
-7.0,106.25,2022,1,3,83.14
-7.0,106.875,2022,1,3,88.3
-7.0,107.5,2022,1,3,87.45
-7.0,108.125,2022,1,3,88.45
-7.0,108.75,2022,1,3,86.38
-7.0,109.375,2022,1,3,85.58
-7.0,110.0,2022,1,3,76.2
-7.0,110.625,2022,1,3,78.47
-7.0,111.25,2022,1,3,84.52
-7.0,111.875,2022,1,3,83.05
-7.0,112.5,2022,1,3,81.01
-7.0,113.125,2022,1,3,84.62
-7.0,113.75,2022,1,3,87.72
-7.0,114.375,2022,1,3,86.5
-6.5,105.625,2022,1,3,81.86
-6.5,106.25,2022,1,3,84.75
-6.5,106.875,2022,1,3,83.2
-6.5,107.5,2022,1,3,77.31
-6.5,108.125,2022,1,3,78.65
-6.5,108.75,2022,1,3,75.99
-6.5,109.375,2022,1,3,74.18
-6.5,110.0,2022,1,3,67.19
-6.5,110.625,2022,1,3,72.4
-6.5,111.25,2022,1,3,75.87
-6.5,111.875,2022,1,3,76.12
-6.5,112.5,2022,1,3,77.67
-6.5,113.125,2022,1,3,83.49
-6.5,113.75,2022,1,3,86.93
-6.5,114.375,2022,1,3,86.25
-6.0,105.625,2022,1,3,83.26
-6.0,106.25,2022,1,3,82.11
-6.0,106.875,2022,1,3,76.94
-6.0,107.5,2022,1,3,78.02
-6.0,108.125,2022,1,3,77.09
-6.0,108.75,2022,1,3,75.23
-6.0,109.375,2022,1,3,76.26
-6.0,110.0,2022,1,3,75.64
-6.0,110.625,2022,1,3,76.26
-6.0,111.25,2022,1,3,75.79
-6.0,111.875,2022,1,3,75.3
-6.0,112.5,2022,1,3,78.66
-6.0,113.125,2022,1,3,82.24
-6.0,113.75,2022,1,3,86.49
-6.0,114.375,2022,1,3,86.74
-5.5,105.625,2022,1,3,86.04
-5.5,106.25,2022,1,3,80.98
-5.5,106.875,2022,1,3,76.71
-5.5,107.5,2022,1,3,75.09
-5.5,108.125,2022,1,3,77.41
-5.5,108.75,2022,1,3,77.09
-5.5,109.375,2022,1,3,77.11
-5.5,110.0,2022,1,3,76.83
-5.5,110.625,2022,1,3,77.25
-5.5,111.25,2022,1,3,77.88
-5.5,111.875,2022,1,3,78.27
-5.5,112.5,2022,1,3,79.86
-5.5,113.125,2022,1,3,81.93
-5.5,113.75,2022,1,3,85.15
-5.5,114.375,2022,1,3,86.55
-9.0,105.625,2022,1,4,72.07
-9.0,106.25,2022,1,4,70.74
-9.0,106.875,2022,1,4,68.79
-9.0,107.5,2022,1,4,66.72
-9.0,108.125,2022,1,4,63.78
-9.0,108.75,2022,1,4,64.76
-9.0,109.375,2022,1,4,67.94
-9.0,110.0,2022,1,4,69.39
-9.0,110.625,2022,1,4,70.67
-9.0,111.25,2022,1,4,70.45
-9.0,111.875,2022,1,4,68.8
-9.0,112.5,2022,1,4,71.71
-9.0,113.125,2022,1,4,71.69
-9.0,113.75,2022,1,4,72.05
-9.0,114.375,2022,1,4,73.26
-8.5,105.625,2022,1,4,72.79
-8.5,106.25,2022,1,4,71.09
-8.5,106.875,2022,1,4,69.43
-8.5,107.5,2022,1,4,67.87
-8.5,108.125,2022,1,4,66.07
-8.5,108.75,2022,1,4,65.04
-8.5,109.375,2022,1,4,67.04
-8.5,110.0,2022,1,4,70.96
-8.5,110.625,2022,1,4,72.75
-8.5,111.25,2022,1,4,73.32
-8.5,111.875,2022,1,4,74.03
-8.5,112.5,2022,1,4,75.71
-8.5,113.125,2022,1,4,76.09
-8.5,113.75,2022,1,4,79.5
-8.5,114.375,2022,1,4,85.66
-8.0,105.625,2022,1,4,73.62
-8.0,106.25,2022,1,4,72.99
-8.0,106.875,2022,1,4,73.48
-8.0,107.5,2022,1,4,73.79
-8.0,108.125,2022,1,4,70.4
-8.0,108.75,2022,1,4,67.16
-8.0,109.375,2022,1,4,69.06
-8.0,110.0,2022,1,4,76.65
-8.0,110.625,2022,1,4,80.64
-8.0,111.25,2022,1,4,79.68
-8.0,111.875,2022,1,4,82.27
-8.0,112.5,2022,1,4,85.6
-8.0,113.125,2022,1,4,84.97
-8.0,113.75,2022,1,4,87.07
-8.0,114.375,2022,1,4,85.59
-7.5,105.625,2022,1,4,74.76
-7.5,106.25,2022,1,4,76.61
-7.5,106.875,2022,1,4,79.08
-7.5,107.5,2022,1,4,81.29
-7.5,108.125,2022,1,4,84.39
-7.5,108.75,2022,1,4,82.56
-7.5,109.375,2022,1,4,81.75
-7.5,110.0,2022,1,4,84.72
-7.5,110.625,2022,1,4,83.48
-7.5,111.25,2022,1,4,80.29
-7.5,111.875,2022,1,4,81.26
-7.5,112.5,2022,1,4,80.63
-7.5,113.125,2022,1,4,75.78
-7.5,113.75,2022,1,4,74.81
-7.5,114.375,2022,1,4,76.73
-7.0,105.625,2022,1,4,76.38
-7.0,106.25,2022,1,4,79.0
-7.0,106.875,2022,1,4,83.09
-7.0,107.5,2022,1,4,83.09
-7.0,108.125,2022,1,4,81.91
-7.0,108.75,2022,1,4,82.61
-7.0,109.375,2022,1,4,78.55
-7.0,110.0,2022,1,4,72.29
-7.0,110.625,2022,1,4,74.95
-7.0,111.25,2022,1,4,78.67
-7.0,111.875,2022,1,4,77.03
-7.0,112.5,2022,1,4,75.66
-7.0,113.125,2022,1,4,78.05
-7.0,113.75,2022,1,4,79.32
-7.0,114.375,2022,1,4,80.34
-6.5,105.625,2022,1,4,76.53
-6.5,106.25,2022,1,4,78.79
-6.5,106.875,2022,1,4,80.29
-6.5,107.5,2022,1,4,78.36
-6.5,108.125,2022,1,4,74.54
-6.5,108.75,2022,1,4,71.75
-6.5,109.375,2022,1,4,70.1
-6.5,110.0,2022,1,4,69.21
-6.5,110.625,2022,1,4,69.79
-6.5,111.25,2022,1,4,73.14
-6.5,111.875,2022,1,4,75.03
-6.5,112.5,2022,1,4,74.94
-6.5,113.125,2022,1,4,79.26
-6.5,113.75,2022,1,4,79.86
-6.5,114.375,2022,1,4,80.31
-6.0,105.625,2022,1,4,75.78
-6.0,106.25,2022,1,4,75.84
-6.0,106.875,2022,1,4,80.15
-6.0,107.5,2022,1,4,75.16
-6.0,108.125,2022,1,4,70.03
-6.0,108.75,2022,1,4,71.83
-6.0,109.375,2022,1,4,71.78
-6.0,110.0,2022,1,4,72.44
-6.0,110.625,2022,1,4,68.9
-6.0,111.25,2022,1,4,69.98
-6.0,111.875,2022,1,4,73.84
-6.0,112.5,2022,1,4,74.91
-6.0,113.125,2022,1,4,78.3
-6.0,113.75,2022,1,4,79.97
-6.0,114.375,2022,1,4,80.38
-5.5,105.625,2022,1,4,78.18
-5.5,106.25,2022,1,4,73.06
-5.5,106.875,2022,1,4,76.13
-5.5,107.5,2022,1,4,75.94
-5.5,108.125,2022,1,4,71.1
-5.5,108.75,2022,1,4,72.14
-5.5,109.375,2022,1,4,71.78
-5.5,110.0,2022,1,4,73.34
-5.5,110.625,2022,1,4,72.04
-5.5,111.25,2022,1,4,72.27
-5.5,111.875,2022,1,4,73.21
-5.5,112.5,2022,1,4,74.92
-5.5,113.125,2022,1,4,77.19
-5.5,113.75,2022,1,4,79.05
-5.5,114.375,2022,1,4,82.0
-9.0,105.625,2022,1,5,74.81
-9.0,106.25,2022,1,5,73.27
-9.0,106.875,2022,1,5,72.31
-9.0,107.5,2022,1,5,71.49
-9.0,108.125,2022,1,5,70.92
-9.0,108.75,2022,1,5,69.88
-9.0,109.375,2022,1,5,69.11
-9.0,110.0,2022,1,5,68.93
-9.0,110.625,2022,1,5,68.38
-9.0,111.25,2022,1,5,69.91
-9.0,111.875,2022,1,5,70.43
-9.0,112.5,2022,1,5,72.36
-9.0,113.125,2022,1,5,74.69
-9.0,113.75,2022,1,5,75.11
-9.0,114.375,2022,1,5,75.61
-8.5,105.625,2022,1,5,74.19
-8.5,106.25,2022,1,5,73.03
-8.5,106.875,2022,1,5,71.94
-8.5,107.5,2022,1,5,70.62
-8.5,108.125,2022,1,5,70.55
-8.5,108.75,2022,1,5,70.67
-8.5,109.375,2022,1,5,70.51
-8.5,110.0,2022,1,5,69.81
-8.5,110.625,2022,1,5,71.17
-8.5,111.25,2022,1,5,74.18
-8.5,111.875,2022,1,5,74.15
-8.5,112.5,2022,1,5,75.92
-8.5,113.125,2022,1,5,77.11
-8.5,113.75,2022,1,5,80.03
-8.5,114.375,2022,1,5,86.45
-8.0,105.625,2022,1,5,73.63
-8.0,106.25,2022,1,5,72.76
-8.0,106.875,2022,1,5,71.52
-8.0,107.5,2022,1,5,70.11
-8.0,108.125,2022,1,5,71.48
-8.0,108.75,2022,1,5,71.21
-8.0,109.375,2022,1,5,72.32
-8.0,110.0,2022,1,5,76.47
-8.0,110.625,2022,1,5,80.04
-8.0,111.25,2022,1,5,81.01
-8.0,111.875,2022,1,5,81.3
-8.0,112.5,2022,1,5,84.38
-8.0,113.125,2022,1,5,83.91
-8.0,113.75,2022,1,5,87.68
-8.0,114.375,2022,1,5,85.62
-7.5,105.625,2022,1,5,74.42
-7.5,106.25,2022,1,5,74.87
-7.5,106.875,2022,1,5,76.64
-7.5,107.5,2022,1,5,80.31
-7.5,108.125,2022,1,5,85.06
-7.5,108.75,2022,1,5,82.55
-7.5,109.375,2022,1,5,84.13
-7.5,110.0,2022,1,5,86.64
-7.5,110.625,2022,1,5,84.66
-7.5,111.25,2022,1,5,82.61
-7.5,111.875,2022,1,5,82.57
-7.5,112.5,2022,1,5,80.09
-7.5,113.125,2022,1,5,73.51
-7.5,113.75,2022,1,5,74.69
-7.5,114.375,2022,1,5,76.91
-7.0,105.625,2022,1,5,76.72
-7.0,106.25,2022,1,5,79.46
-7.0,106.875,2022,1,5,85.78
-7.0,107.5,2022,1,5,87.82
-7.0,108.125,2022,1,5,86.26
-7.0,108.75,2022,1,5,84.77
-7.0,109.375,2022,1,5,82.21
-7.0,110.0,2022,1,5,75.59
-7.0,110.625,2022,1,5,79.6
-7.0,111.25,2022,1,5,82.7
-7.0,111.875,2022,1,5,76.67
-7.0,112.5,2022,1,5,75.12
-7.0,113.125,2022,1,5,75.08
-7.0,113.75,2022,1,5,76.79
-7.0,114.375,2022,1,5,79.22
-6.5,105.625,2022,1,5,78.07
-6.5,106.25,2022,1,5,81.4
-6.5,106.875,2022,1,5,83.16
-6.5,107.5,2022,1,5,81.41
-6.5,108.125,2022,1,5,79.19
-6.5,108.75,2022,1,5,74.42
-6.5,109.375,2022,1,5,71.15
-6.5,110.0,2022,1,5,74.8
-6.5,110.625,2022,1,5,74.74
-6.5,111.25,2022,1,5,74.45
-6.5,111.875,2022,1,5,71.93
-6.5,112.5,2022,1,5,72.68
-6.5,113.125,2022,1,5,74.72
-6.5,113.75,2022,1,5,77.28
-6.5,114.375,2022,1,5,79.53
-6.0,105.625,2022,1,5,78.03
-6.0,106.25,2022,1,5,78.07
-6.0,106.875,2022,1,5,78.52
-6.0,107.5,2022,1,5,75.81
-6.0,108.125,2022,1,5,71.55
-6.0,108.75,2022,1,5,72.36
-6.0,109.375,2022,1,5,73.65
-6.0,110.0,2022,1,5,73.98
-6.0,110.625,2022,1,5,70.41
-6.0,111.25,2022,1,5,69.6
-6.0,111.875,2022,1,5,70.63
-6.0,112.5,2022,1,5,72.53
-6.0,113.125,2022,1,5,74.82
-6.0,113.75,2022,1,5,78.64
-6.0,114.375,2022,1,5,78.96
-5.5,105.625,2022,1,5,79.92
-5.5,106.25,2022,1,5,75.55
-5.5,106.875,2022,1,5,75.54
-5.5,107.5,2022,1,5,74.64
-5.5,108.125,2022,1,5,71.4
-5.5,108.75,2022,1,5,73.25
-5.5,109.375,2022,1,5,74.29
-5.5,110.0,2022,1,5,76.26
-5.5,110.625,2022,1,5,73.36
-5.5,111.25,2022,1,5,71.24
-5.5,111.875,2022,1,5,72.32
-5.5,112.5,2022,1,5,74.71
-5.5,113.125,2022,1,5,76.32
-5.5,113.75,2022,1,5,78.48
-5.5,114.375,2022,1,5,78.85
-9.0,105.625,2022,1,6,75.6
-9.0,106.25,2022,1,6,75.04
-9.0,106.875,2022,1,6,74.6
-9.0,107.5,2022,1,6,73.96
-9.0,108.125,2022,1,6,72.57
-9.0,108.75,2022,1,6,72.57
-9.0,109.375,2022,1,6,71.63
-9.0,110.0,2022,1,6,70.67
-9.0,110.625,2022,1,6,70.17
-9.0,111.25,2022,1,6,70.15
-9.0,111.875,2022,1,6,70.29
-9.0,112.5,2022,1,6,70.72
-9.0,113.125,2022,1,6,71.29
-9.0,113.75,2022,1,6,72.4
-9.0,114.375,2022,1,6,74.18
-8.5,105.625,2022,1,6,74.67
