-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOTCORR
-9.0,105.625,2024,1,1,0.76
-9.0,106.25,2024,1,1,0.74
-9.0,106.875,2024,1,1,0.76
-9.0,107.5,2024,1,1,0.75
-9.0,108.125,2024,1,1,0.76
-9.0,108.75,2024,1,1,1.18
-9.0,109.375,2024,1,1,1.78
-9.0,110.0,2024,1,1,1.9
-9.0,110.625,2024,1,1,2.78
-9.0,111.25,2024,1,1,4.93
-9.0,111.875,2024,1,1,4.42
-9.0,112.5,2024,1,1,2.62
-9.0,113.125,2024,1,1,0.97
-9.0,113.75,2024,1,1,0.98
-9.0,114.375,2024,1,1,1.35
-8.5,105.625,2024,1,1,1.44
-8.5,106.25,2024,1,1,1.46
-8.5,106.875,2024,1,1,2.18
-8.5,107.5,2024,1,1,1.74
-8.5,108.125,2024,1,1,2.19
-8.5,108.75,2024,1,1,2.88
-8.5,109.375,2024,1,1,3.76
-8.5,110.0,2024,1,1,4.35
-8.5,110.625,2024,1,1,6.3
-8.5,111.25,2024,1,1,9.14
-8.5,111.875,2024,1,1,9.64
-8.5,112.5,2024,1,1,7.33
-8.5,113.125,2024,1,1,2.18
-8.5,113.75,2024,1,1,1.9
-8.5,114.375,2024,1,1,0.84
-8.0,105.625,2024,1,1,3.04
-8.0,106.25,2024,1,1,3.14
-8.0,106.875,2024,1,1,5.49
-8.0,107.5,2024,1,1,4.36
-8.0,108.125,2024,1,1,7.1
-8.0,108.75,2024,1,1,7.37
-8.0,109.375,2024,1,1,9.47
-8.0,110.0,2024,1,1,9.77
-8.0,110.625,2024,1,1,11.16
-8.0,111.25,2024,1,1,10.34
-8.0,111.875,2024,1,1,11.29
-8.0,112.5,2024,1,1,8.57
-8.0,113.125,2024,1,1,4.54
-8.0,113.75,2024,1,1,6.4
-8.0,114.375,2024,1,1,3.45
-7.5,105.625,2024,1,1,5.51
-7.5,106.25,2024,1,1,5.55
-7.5,106.875,2024,1,1,8.41
-7.5,107.5,2024,1,1,8.07
-7.5,108.125,2024,1,1,13.85
-7.5,108.75,2024,1,1,13.63
-7.5,109.375,2024,1,1,11.57
-7.5,110.0,2024,1,1,13.05
-7.5,110.625,2024,1,1,12.55
-7.5,111.25,2024,1,1,9.09
-7.5,111.875,2024,1,1,8.46
-7.5,112.5,2024,1,1,7.4
-7.5,113.125,2024,1,1,6.37
-7.5,113.75,2024,1,1,7.04
-7.5,114.375,2024,1,1,3.57
-7.0,105.625,2024,1,1,7.51
-7.0,106.25,2024,1,1,6.68
-7.0,106.875,2024,1,1,8.36
-7.0,107.5,2024,1,1,9.4
-7.0,108.125,2024,1,1,12.33
-7.0,108.75,2024,1,1,10.32
-7.0,109.375,2024,1,1,8.23
-7.0,110.0,2024,1,1,12.68
