-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
-9.0,105.625,2022,1,1,27.82
-9.0,106.25,2022,1,1,27.93
-9.0,106.875,2022,1,1,27.99
-9.0,107.5,2022,1,1,28.03
-9.0,108.125,2022,1,1,28.06
-9.0,108.75,2022,1,1,28.18
-9.0,109.375,2022,1,1,28.3
-9.0,110.0,2022,1,1,28.32
-9.0,110.625,2022,1,1,28.39
-9.0,111.25,2022,1,1,28.49
-9.0,111.875,2022,1,1,28.68
-9.0,112.5,2022,1,1,28.63
-9.0,113.125,2022,1,1,28.62
-9.0,113.75,2022,1,1,28.63
-9.0,114.375,2022,1,1,28.48
-8.5,105.625,2022,1,1,27.96
-8.5,106.25,2022,1,1,28.01
-8.5,106.875,2022,1,1,28.15
-8.5,107.5,2022,1,1,28.33
-8.5,108.125,2022,1,1,28.46
-8.5,108.75,2022,1,1,28.53
-8.5,109.375,2022,1,1,28.47
-8.5,110.0,2022,1,1,28.36
-8.5,110.625,2022,1,1,28.1
-8.5,111.25,2022,1,1,27.54
-8.5,111.875,2022,1,1,27.92
-8.5,112.5,2022,1,1,27.3
-8.5,113.125,2022,1,1,28.0
-8.5,113.75,2022,1,1,27.31
-8.5,114.375,2022,1,1,26.88
-8.0,105.625,2022,1,1,28.1
-8.0,106.25,2022,1,1,28.12
-8.0,106.875,2022,1,1,28.23
-8.0,107.5,2022,1,1,28.13
-8.0,108.125,2022,1,1,28.25
-8.0,108.75,2022,1,1,28.6
-8.0,109.375,2022,1,1,28.35
-8.0,110.0,2022,1,1,27.46
-8.0,110.625,2022,1,1,26.25
-8.0,111.25,2022,1,1,25.39
-8.0,111.875,2022,1,1,25.78
-8.0,112.5,2022,1,1,24.2
-8.0,113.125,2022,1,1,25.42
-8.0,113.75,2022,1,1,24.22
-8.0,114.375,2022,1,1,24.79
-7.5,105.625,2022,1,1,28.2
