tahun,energi_kWh,energi_dipakai_kWh,tarif_Rp_kWh,penghematan_Rp
1,6604.0,4293.0,1445.0,6201740.0
2,6571.0,4271.0,1488.0,6355854.0
3,6538.0,4250.0,1533.0,6513797.0
4,6506.0,4229.0,1579.0,6675664.0
5,6473.0,4208.0,1626.0,6841555.0
6,6441.0,4187.0,1675.0,7011567.0
7,6409.0,4166.0,1725.0,7185805.0
8,6377.0,4145.0,1777.0,7364372.0
9,6345.0,4124.0,1830.0,7547377.0
10,6313.0,4103.0,1885.0,7734929.0
11,6281.0,4083.0,1942.0,7927142.0
12,6250.0,4062.0,2000.0,8124132.0
13,6219.0,4042.0,2060.0,8326016.0
14,6188.0,4022.0,2122.0,8532918.0
15,6157.0,4002.0,2185.0,8744961.0
16,6126.0,3982.0,2251.0,8962273.0
17,6095.0,3962.0,2318.0,9184985.0
18,6065.0,3942.0,2388.0,9413232.0
19,6034.0,3922.0,2460.0,9647151.0
20,6004.0,3903.0,2533.0,9886883.0
21,5974.0,3883.0,2609.0,10132572.0
22,5944.0,3864.0,2688.0,10384366.0
23,5915.0,3845.0,2768.0,10642418.0
24,5885.0,3825.0,2851.0,10906882.0
25,5856.0,3806.0,2937.0,11177918.0
